combo_idx,HEAD_GOAL_W,ORDER_W_SCALE,COVERAGE_W,SPEED_W,SENSOR_BCE_W,GOAL_DISTANCE_WEIGHT,head_dist_h1_at_tau,mean_hotspot_coverage_dist,high_info_dwell_ratio,high_info_dwell_area_norm,low_info_idle_rate,sensor_f1_high_info,split_jump_metric,head_success_rate,mean_cycle_time_sec,mean_iterations_used,composite_score
37,8.0,0.9,0.3,0.55,0.45,1.0,0.2996661216020584,0.24508790392428637,0.3875000001862645,1.2916666159613284,0.5142543859649122,0.2636363636363636,0.0525027274270542,0.25,8.149352133274078,500.0,0.5775171806028613
38,8.0,0.9,0.3,0.55,0.7,0.7,0.3505551815032959,0.16361596047257385,0.3125000046566129,1.0416666407965962,0.5624156545209177,0.352994227994228,0.05331624046084471,0.0,8.163920998573303,500.0,0.5835209270261135
39,8.0,0.9,0.3,0.55,0.7,1.0,0.3505551815032959,0.16361596047257385,0.3125000046566129,1.0416666407965962,0.5624156545209177,0.352994227994228,0.05331624046084471,0.0,9.260541439056396,500.0,0.5835209270261135
40,8.0,0.9,0.55,0.35,0.45,0.7,0.34863629564642906,0.16424570605158803,0.3125000046566129,1.0416666407965962,0.5624156545209177,0.3348901098901099,0.05226946549373679,0.0,8.679920136928558,500.0,0.5820912731410536
41,8.0,0.9,0.55,0.35,0.45,1.0,0.2995571307837963,0.2448893589898944,0.3875000001862645,1.2916666159613284,0.5142543859649122,0.2636363636363636,0.05253975937375799,0.25,8.337614476680756,500.0,0.5778576710168305
42,8.0,0.9,0.55,0.35,0.7,0.7,0.35053393989801407,0.16323795868083835,0.3125000046566129,1.0416666407965962,0.5624156545209177,0.352994227994228,0.05312826999579556,0.0,8.941773533821106,500.0,0.5849332199473433
43,8.0,0.9,0.55,0.35,0.7,1.0,0.35053393989801407,0.16323795868083835,0.3125000046566129,1.0416666407965962,0.5624156545209177,0.352994227994228,0.05312826999579556,0.0,8.382133722305298,500.0,0.5849332199473433
44,8.0,0.9,0.55,0.55,0.45,0.7,0.3486364930868149,0.16424541423718136,0.3125000046566129,1.0416666407965962,0.5624156545209177,0.3348901098901099,0.05226949276402593,0.0,8.269249379634857,500.0,0.5820912159265819
45,8.0,0.9,0.55,0.55,0.45,1.0,0.29955686442553997,0.2448888374492526,0.3875000001862645,1.2916666159613284,0.5142543859649122,0.2636363636363636,0.05253968568285927,0.25,8.164575755596161,500.0,0.5778592656576348
46,8.0,0.9,0.55,0.55,0.7,0.7,0.35053372383117676,0.16323774851237735,0.3125000046566129,1.0416666407965962,0.5624156545209177,0.352994227994228,0.053128620667848736,0.0,8.596594452857971,500.0,0.584932426126998
47,8.0,0.9,0.55,0.55,0.7,1.0,0.35053372383117676,0.16323774851237735,0.3125000046566129,1.0416666407965962,0.5624156545209177,0.352994227994228,0.053128620667848736,0.0,8.683496654033661,500.0,0.584932426126998
